id,name,town,existing_category,existing_subcategory,gazette_category,gazette_mapped_category
6,"Bunch of Grapes Bookstore","Vineyard Haven","Shopping & Specialty Retail","Book Stores","General Business Information","General Business"
476,"Cape Cod Five","Vineyard Haven","Business & Professional Services","Attorneys","General Business Information","General Business"
487,"Claudia Jewelry","Edgartown","Shopping & Specialty Retail","Jewelry Stores","General Business Information","General Business"
491,"Conrado®","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
496,"Darosa's","Vineyard Haven","Restaurants, Food & Beverages","Restaurants","General Business Information","General Business"
499,"Divine Beauty + Wellness","Edgartown","Beauty & Wellness","Spas","General Business Information","General Business"
503,"E. C. Cottle, Inc.","Edgartown","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
512,"Edgartown Council on Aging","Edgartown","Family, Community & Government","Town Government","General Business Information","General Business"
518,"Edgartown Paint Shoppe","Edgartown","Shopping & Specialty Retail","Art Supplies","General Business Information","General Business"
520,"Fine Fettle Dispensary","Edgartown","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
523,"Good Dog Goods","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
525,"Granite Five & Ten","Edgartown","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
534,"Islandalpaca","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
687,"Kin MV","Edgartown","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
671,"Lani Beach Club","Vineyard Haven","Building & Construction","General Contractors","General Business Information","General Business"
549,"Larry's Tackle Shop","Edgartown","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
551,"Lazy Frog","Oak Bluffs","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
553,"Leroux Kitchen","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
555,"Technical Apparel + Athletic Shoes","Vineyard Haven","Shopping & Specialty Retail","Clothing & Apparel","General Business Information","General Business"
696,"Mardell's Gifts & Jewelry","Vineyard Haven","Shopping & Specialty Retail","Jewelry Stores","General Business Information","General Business"
561,"Martha's Bike","Vineyard Haven","Lodging & Tourism","Hotels","General Business Information","General Business"
565,"Martha's Vineyard Made","West Tisbury","Shopping & Specialty Retail","Art Supplies","General Business Information","General Business"
583,"North Line Shell","Edgartown","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
694,"Off Main","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
691,"Olive Branch Fair Trade","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
672,"Rainy Day","Vineyard Haven","Building & Construction","General Contractors","General Business Information","General Business"
597,"Revive by Sarka","Edgartown","Beauty & Wellness","Spas","General Business Information","General Business"
603,"Sanctuary Martha's Vineyard","Oak Bluffs","Shopping & Specialty Retail","Art Supplies","General Business Information","General Business"
606,"Sea Bags","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
610,"Sea Spa Salon","Edgartown","Beauty & Wellness","Spas","General Business Information","General Business"
616,"Slate","Edgartown","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
620,"Soft As a Grape","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
625,"Spa L'eau MV","Edgartown","Beauty & Wellness","Spas","General Business Information","General Business"
626,"Stefanie Wolf Designs Artisan Jewelry From Martha's Vineyard","Oak Bluffs","Shopping & Specialty Retail","Jewelry Stores","General Business Information","General Business"
689,"Stony Creek Gifts","Aquinnah","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
633,"Tashmoo Insurance Agency","Vineyard Haven","Business & Professional Services","Attorneys","General Business Information","General Business"
686,"Tending Joy Artisan Shop","Chilmark","Shopping & Specialty Retail","Art Supplies","General Business Information","General Business"
637,"Boneyard Surf Co","Oak Bluffs","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
652,"Vineyard Decorators","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
656,"Vineyard Hearth Patio & Spa","West Tisbury","Shopping & Specialty Retail","Art Supplies","General Business Information","General Business"
660,"Vineyard Vines","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","General Business Information","General Business"
